seed,mean_loss,std_loss,min_loss,max_loss,median_loss,num_samples
783,0.16539726820971817,0.06620198281963922,0.03156701847910881,0.7690247297286987,0.15255920588970184,100000
837,0.16572857867223345,0.1806590883450027,1.8429429928801255e-06,0.9996340870857239,0.0996185913681984,99328
495,0.16971688087021805,0.16570832737545244,0.007469600066542625,0.9996791481971741,0.10418578237295151,99285
571,0.17062526606118844,0.14374833768472045,0.007568397093564272,0.999981164932251,0.12560755014419556,99925
114,0.17947109099598843,0.2089682217698601,0.0005734562291763723,0.999934732913971,0.09448403120040894,97326
379,0.1825369468012935,0.2142646414760675,2.507919589334051e-06,0.9998379349708557,0.09545235335826874,96932
728,0.18967710143286562,0.21920336859421652,8.535141205356922e-06,0.9999372363090515,0.10074599459767342,96128
73,0.19567555524003977,0.15223900784358563,0.017819903790950775,0.9999183416366577,0.14367859065532684,99380
920,0.1957370966427939,0.2241799878437463,2.833841961091821e-07,0.999980092048645,0.10585229471325874,95342
555,0.20021279105237813,0.1648646302341757,0.0003431740333326161,0.999566912651062,0.1589173823595047,99765
527,0.20255344488658242,0.23179973682864358,2.0820759516482212e-07,0.9999409914016724,0.1090734675526619,94508
298,0.20461832146151818,0.22581832570812752,1.4402679653358064e-06,0.9999262094497681,0.1185670793056488,96510
291,0.21042267528521247,0.19019402962863463,0.001623628311790526,0.9998754262924194,0.15807949006557465,99371
771,0.2146308616396497,0.10686347665696123,0.04865244776010513,0.9997382760047913,0.18670237809419632,99948
968,0.21468570510366033,0.23401161764462372,0.0014832797460258007,0.9998716115951538,0.11977913975715637,93442
82,0.2170386046821108,0.22359724712409562,0.0024887030012905598,0.9999874830245972,0.13264316320419312,96565
299,0.2178301246804074,0.22142785983046506,0.00996883399784565,0.9998384118080139,0.12863624840974808,95332
427,0.2229303487746755,0.18160121997055856,0.02285178191959858,0.999687135219574,0.1530764177441597,98204
698,0.22313834881777816,0.2278188547506909,0.009029367938637733,0.9999017715454102,0.13206078857183456,94334
444,0.22374770973982613,0.23146924305602284,0.006920484825968742,0.9999886751174927,0.1307370364665985,93615
307,0.22555143442260767,0.24359406541490472,1.721564899526129e-06,0.9998587369918823,0.12904801219701767,91286
883,0.2284235808062448,0.19570992045593716,2.3999593850021483e-06,0.9999874830245972,0.17737913131713867,99127
115,0.22915635008046012,0.23196945730900753,8.010827878024429e-05,0.9998971223831177,0.13702791184186935,93536
695,0.2324355920944593,0.11383557496004544,0.0090821897611022,0.9999892711639404,0.21361171454191208,99996
57,0.23405235402702945,0.2417432022018045,0.0024170016404241323,0.9998862147331238,0.13862362504005432,91762
797,0.23440304399914808,0.24554280836455142,0.00025423368788324296,0.9999630451202393,0.13852830231189728,91373
980,0.23569406614201155,0.25305570558608514,2.222944885943434e-06,0.9999266862869263,0.13754087686538696,89262
821,0.2372684957826607,0.24312855523268162,0.005592620000243187,0.9999698400497437,0.14207666367292404,91996
770,0.23775266560062147,0.21653630558291587,0.005123864393681288,0.9999750852584839,0.16156519949436188,97371
280,0.24184302163341717,0.25577094681608936,6.921284523286886e-08,0.9999530911445618,0.14537891745567322,89599
1,0.24329685093690417,0.2526902913145598,0.0007310560322366655,0.9999989867210388,0.14524441957473755,89015
843,0.2435423295679266,0.22531010050200598,0.016217442229390144,0.9999275207519531,0.15342023968696594,93629
348,0.2439948386198114,0.24952769950623052,0.000809629273135215,0.9998499751091003,0.14786851406097412,89403
118,0.245139194136154,0.2551392334297246,4.0510218241252005e-05,0.9999632239341736,0.14695117622613907,87804
395,0.24599394208497974,0.23585005556146107,0.009442495182156563,0.9999806880950928,0.1529119908809662,92811
466,0.24717344895061402,0.21082417156526104,0.007278975564986467,0.9999879598617554,0.16696694493293762,95325
409,0.25144282868325873,0.262217206000358,3.6028578165314684e-07,0.9999856948852539,0.1516268402338028,86002
819,0.2516303608499736,0.25907453518282514,0.0010033192811533809,0.9999852776527405,0.15296506881713867,86715
646,0.2527861153678869,0.22790220732121497,0.00920003280043602,0.9998197555541992,0.17671304941177368,96325
857,0.2528889382461253,0.2497266727915227,0.005404491908848286,0.9999889731407166,0.15658065676689148,88606
537,0.2557843499496167,0.23938732757485084,0.000414480222389102,0.9999666810035706,0.16310393810272217,90523
573,0.2572269664449739,0.2584930878020933,0.005583235062658787,0.9999537467956543,0.1602005809545517,84969
680,0.25790693646336754,0.2639264808180732,3.285278580733575e-06,0.9999444484710693,0.1593352109193802,83594
284,0.25832379806491856,0.25179290308406427,0.0028144323732703924,0.9999890327453613,0.1648142859339714,90612
938,0.2608588508921715,0.22279677429010106,0.0024932350497692823,0.9999767541885376,0.17292923480272293,94078
269,0.26154213300495055,0.2691537674873012,7.358138987001439e-08,0.999954342842102,0.16146941483020782,81898
281,0.2616222128528872,0.25996223579895256,0.0018996706930920482,0.9999974966049194,0.16631388664245605,87211
931,0.26270946116075056,0.26664704305406567,0.0012469543144106865,0.9999947547912598,0.1635395511984825,82472
133,0.26322974564353313,0.2614534137388575,0.002732242224738002,0.999906063079834,0.16485802829265594,84216
58,0.2632675821204281,0.19060650431981832,0.03184366598725319,0.9999158978462219,0.1940837949514389,97090
884,0.2660432471595792,0.13021879146253257,0.051482558250427246,0.9999662637710571,0.2310512661933899,99795
112,0.2670210608722109,0.2664048744423762,1.353767629552749e-06,0.9999490976333618,0.16887879371643066,81799
